MONDO:0007030	autosomal dominant Aarskog syndrome	0.861	0.441	0.512	46	0.486
MONDO:0007031	familial abdominal aortic aneurysm	0.404				
MONDO:0007032	prune belly syndome	0.858	0.399	0.464	43	0.447
MONDO:0007033	abducens nerve palsy	0.439				
MONDO:0007034	Adams-Oliver syndrome	0.872	0.422	0.484	31	0.397
MONDO:0007035	acanthosis nigricans (disease)	0.396				
MONDO:0007036	Achard syndrome	0.507				
MONDO:0007037	achondroplasia	0.843	0.635	0.753	49	0.622
MONDO:0007038	Achoo syndrome	0.100	0.100	1.000	0	0.500
MONDO:0007039	neurofibromatosis type 2	0.798	0.489	0.613	53	0.572
MONDO:0007040	Sakati-Nyhan syndrome	0.676	0.395	0.585	54	0.562
MONDO:0007041	Apert syndrome	0.831	0.505	0.608	43	0.519
MONDO:0007042	Saethre-Chotzen syndrome	0.863	0.535	0.620	43	0.525
MONDO:0007043	Pfeiffer syndrome	0.732	0.456	0.623	55	0.586
MONDO:0007044	acrodysostosis 1 with or without hormone resistance	0.791	0.413	0.522	41	0.466
MONDO:0007045	acrofacial dysostosis, Catania type	0.722	0.447	0.619	60	0.610
MONDO:0007046	hereditary papulotranslucent acrokeratoderma	0.492				
MONDO:0007047	punctate palmoplantar keratoderma type III	0.567	0.357	0.630	57	0.600
MONDO:0007048	acrokeratosis verruciformis	0.517				
MONDO:0007049	acroleukopathy, symmetric	0.490				
MONDO:0007050	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	0.608	0.327	0.538	42	0.479
MONDO:0007051	acromegaloid facial appearance syndrome	0.716	0.295	0.412	40	0.406
MONDO:0007052	growth hormone secreting pituitary adenoma	0.790	0.560	0.709	65	0.680
MONDO:0007053	restless legs syndrome 1	0.591				
MONDO:0007054	Acromial Dimples	0.162				
MONDO:0007055	Acromicric dysplasia	0.752	0.309	0.411	23	0.320
MONDO:0007056	acroosteolysis	0.458				
MONDO:0007057	Acroosteolysis dominant type	0.882	0.564	0.640	46	0.550
MONDO:0007058	acropectorovertebral dysplasia	0.737	0.374	0.508	47	0.489
MONDO:0007059	acrorenal syndrome	0.566	0.272	0.480	38	0.430
MONDO:0007060	spermatogenic failure 6	0.406				
MONDO:0007062	congenital absence/hypoplasia of fingers excluding thumb, unilateral	0.601				
MONDO:0007063	long bone adamantinoma	0.442	0.217	0.491	34	0.415
MONDO:0007064	adenosine deaminase deficiency	0.808	0.357	0.442	40	0.421
MONDO:0007065	adenosine deaminase, elevated, hemolytic anemia due to	0.548				
MONDO:0007066	adenosine Triphosphatase deficiency, anemia due to	0.427				
MONDO:0007067	pyruvate kinase hyperactivity	0.505				
MONDO:0007068	Adenylosuccinate lyase deficiency	0.732	0.298	0.407	32	0.364
MONDO:0007069	Adie syndrome	0.722	0.440	0.609	54	0.574
MONDO:0007070	adiposis dolorosa	0.835	0.552	0.661	52	0.590
MONDO:0007071	adrenocortical hypofunction, chronic primary congenital	0.483	0.358	0.742	55	0.646
MONDO:0007072	adult syndrome	0.748	0.326	0.436	29	0.363
MONDO:0007073	Hypoglossia-hypodactyly syndrome	0.720				
MONDO:0007074	ainhum (disease)	0.526				
MONDO:0007075	alacrima, congenital, autosomal dominant	0.644				
MONDO:0018138	ocular albinism with congenital sensorineural deafness	0.735	0.429	0.583	65	0.617
MONDO:0007077	Tietz syndrome	0.624	0.348	0.557	52	0.539
MONDO:0007078	Albright's hereditary osteodystrophy	0.874	0.551	0.630	43	0.530
MONDO:0007079	alcohol dependence	0.489				
MONDO:0007080	glucocorticoid-remediable aldosteronism	0.806	0.493	0.612	53	0.571
MONDO:0015243	allergic bronchopulmonary aspergillosis	0.743	0.408	0.549	51	0.529
MONDO:0007082	alopecia areata 1	0.596	0.286	0.479	26	0.370
