MONDO:0007030	autosomal dominant Aarskog syndrome	0.861	0.706	0.82	70	0.76	40	21
MONDO:0007031	familial abdominal aortic aneurysm	0.404					1	0
MONDO:0007032	prune belly syndome	0.858	0.745	0.868	76	0.814	73	31
MONDO:0007033	abducens nerve palsy	0.439	0.335	0.763	53	0.647	2	1
MONDO:0007034	Adams-Oliver syndrome	0.872	0.794	0.91	79	0.85	67	34
MONDO:0007035	acanthosis nigricans (disease)	0.396					1	0
MONDO:0007036	Achard syndrome	0.507	0.507	1	100	1	5	5
MONDO:0007037	achondroplasia	0.843	0.815	0.967	92	0.943	114	65
MONDO:0007038	Achoo syndrome	0.1	0.1	1	0	0.5	1	1
MONDO:0007039	neurofibromatosis type 2	0.798	0.619	0.776	59	0.683	32	12
MONDO:0007040	Sakati-Nyhan syndrome	0.676	0.661	0.977	93	0.954	18	17
MONDO:0007041	Apert syndrome	0.831	0.759	0.913	81	0.861	77	45
MONDO:0007042	Saethre-Chotzen syndrome	0.863	0.839	0.973	95	0.961	111	79
MONDO:0007043	Pfeiffer syndrome	0.732	0.708	0.967	91	0.939	45	33
MONDO:0007044	acrodysostosis 1 with or without hormone resistance	0.791	0.766	0.97	97	0.97	39	33
MONDO:0007045	acrofacial dysostosis, Catania type	0.722	0.7	0.969	94	0.954	35	24
MONDO:0007046	hereditary papulotranslucent acrokeratoderma	0.492	0.417	0.847	79	0.819	4	2
MONDO:0007047	punctate palmoplantar keratoderma type III	0.567	0.443	0.782	79	0.786	7	4
MONDO:0007048	acrokeratosis verruciformis	0.517	0.416	0.806	78	0.793	4	1
MONDO:0007049	acroleukopathy, symmetric	0.49					1	0
MONDO:0007050	acromegaloid changes, cutis verticis gyrata, and corneal leukoma	0.608	0.576	0.948	93	0.939	8	7
MONDO:0007051	acromegaloid facial appearance syndrome	0.716	0.706	0.986	94	0.963	27	24
MONDO:0007052	growth hormone secreting pituitary adenoma	0.79	0.663	0.839	74	0.79	28	11
MONDO:0007053	restless legs syndrome 1	0.591	0.529	0.895	86	0.878	5	4
MONDO:0007054	Acromial Dimples	0.162	0.162	1	100	1	1	1
MONDO:0007055	Acromicric dysplasia	0.752	0.657	0.873	76	0.817	28	22
MONDO:0007056	acroosteolysis	0.458					2	0
MONDO:0007057	Acroosteolysis dominant type	0.882	0.835	0.947	93	0.938	114	76
