disease	disease label	simple score	scaled score
OMIM:190685	Down Syndrome	0.99581	0.9535148333
OMIM:270400	Smith-Lemli-Opitz Syndrome	0.99655	0.9236523333
OMIM:130650	Beckwith-Wiedemann syndrome	0.9961	0.9218371667
OMIM:268300	Roberts syndrome	0.99647	0.9206828333
OMIM:252500	inclusion-cell disease	0.99718	0.9198675
OMIM:312870	Simpson-Golabi-Behmel syndrome	0.99767	0.9168616667
OMIM:305600	Focal Dermal Hypoplasia	0.99782	0.9135885
OMIM:194050	Williams-Beuren syndrome	0.99579	0.912817
OMIM:603903	Sickle Cell Anemia	0.99664	0.909604
OMIM:269150	Schinzel-Giedion syndrome	0.99757	0.9091773333
OMIM:309000	oculocerebrorenal syndrome	0.99639	0.9074023333
OMIM:176920	Proteus syndrome	0.99668	0.9060113333
OMIM:308300	Incontinentia pigmenti syndrome	0.9968	0.9032443333
OMIM:277700	Werner Syndrome	0.99633	0.9021253333
OMIM:154700	Marfan Syndrome	0.99657	0.900034
OMIM:174800	Mccune-Albright Syndrome	0.9962	0.8989138333
OMIM:214800	CHARGE association	0.97656	0.8973588333
OMIM:268400	Rothmund-Thomson Syndrome	0.99635	0.8963551667
OMIM:229850	FRNS	0.99628	0.8961566667
OMIM:176270	Prader-Willi syndrome	0.97571	0.8931841667
OMIM:160900	Steinert myotonic dystrophy syndrome	0.99585	0.8930653333
OMIM:250250	cartilage-hair hypoplasia	0.99639	0.8925445
OMIM:113970	Burkitt lymphoma	0.99614	0.8916648333
OMIM:149000	Klippel-Trenaunay syndrome	0.99689	0.8909746667
OMIM:301500	Fabry Disease	0.99608	0.8907293333
OMIM:608836	Carnitine palmitoyltransferase II deficiency, lethal neonatal	0.99703	0.8900818333
OMIM:130000	Ehlers-Danlos syndrome, classic type	0.99626	0.8899921667
OMIM:113620	branchiooculofacial syndrome	0.99637	0.8897125
OMIM:130050	Ehlers-Danlos syndrome, type 4	0.99643	0.889691
OMIM:180849	Rubinstein-Taybi Syndrome 1	0.99641	0.8893775
OMIM:188400	DiGeorge syndrome	0.96299	0.8893058333
OMIM:601808	Chromosome 18Q Deletion Syndrome	0.99651	0.888933
OMIM:194190	Wolf-Hirschhorn Syndrome	0.97561	0.888375
OMIM:153480	Bannayan-Riley-Ruvalcaba Syndrome	0.96359	0.8875841667
OMIM:125853	type 2 diabetes mellitus	0.94268	0.88685
OMIM:255800	Schwartz-Jampel Syndrome, Type 1	0.99801	0.885784
OMIM:219700	Cystic Fibrosis	0.95626	0.8857396667
OMIM:540000	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, and Stroke-Like Episodes	0.97561	0.8857216667
OMIM:253200	Mucopolysaccharidosis type VI	0.99624	0.885242
OMIM:261540	Peters-Plus Syndrome	0.99618	0.8849308333
OMIM:109650	Behcet's disease	0.97598	0.8845328333
OMIM:280000	Coloboma, Congenital Heart Disease, Ichthyosiform Dermatosis, Mental Retardation, and Ear Anomalies Syndrome	0.9754	0.8843223333
OMIM:176670	progeria	0.96305	0.882591
OMIM:604856	Langerhans-cell histiocytosis	0.95522	0.8822443333
OMIM:235510	Hennekam Lymphangiectasia-Lymphedema Syndrome 1	0.99624	0.882143
OMIM:171300	Pheochromocytoma	0.9754	0.8819196667
OMIM:212065	Congenital Disorder of Glycosylation, Type Ia	0.99616	0.8817858333
OMIM:265000	Multiple Pterygium Syndrome, Escobar Variant	0.9983	0.881708
OMIM:309900	mucopolysaccharidosis II	0.96355	0.8816731667
OMIM:243800	Johanson-Blizzard syndrome	0.99635	0.8813313333
OMIM:176690	Progeroid Short Stature With Pigmented Nevi	0.99674	0.8800533333
OMIM:180200	retinoblastoma	0.97517	0.8795115
OMIM:109400	Gorlin syndrome	0.99662	0.878912
OMIM:208900	ataxia telangiectasia	0.9546	0.8787775
OMIM:203800	Alstrom syndrome	0.96392	0.878178
OMIM:246200	Leprechaunism syndrome	0.9754	0.877816
OMIM:158350	Cowden syndrome 1	0.94831	0.8761946667
OMIM:607872	chromosome 1p36 deletion syndrome	0.97669	0.8758081667
OMIM:164210	Goldenhar syndrome	0.99601	0.8757513333
OMIM:230000	Fucosidosis	0.9974	0.8750328333
OMIM:609423	Human immunodeficiency virus type 1, susceptibility to	0.9384	0.8744158333
OMIM:277900	Wilson disease	0.99664	0.87432
OMIM:114550	Hepatocellular carcinoma	0.99666	0.873137
OMIM:273395	Tetraamelia, autosomal recessive	0.99637	0.8731173333
OMIM:608232	Leukemia, Chronic Myeloid	0.99653	0.872854
OMIM:300166	Oculofaciocardiodental syndrome	0.99745	0.8719698333
OMIM:216400	Cockayne Syndrome a	0.97613	0.8715795
OMIM:610443	Koolen-De Vries Syndrome	0.97552	0.8714865
OMIM:219800	Cystinosis	0.96392	0.8710615
OMIM:235255	MC<llerian derivatives - lymphangiectasia - polydactyly	0.99612	0.8701465
OMIM:146510	Pallister-Hall Syndrome	0.99728	0.8701221667
OMIM:131300	Camurati-Engelmann Disease	0.99618	0.8701216667
OMIM:257300	Mosaic variegated aneuploidy syndrome	0.97588	0.8699565
OMIM:134500	factor VIII deficiency	0.96323	0.8699143333
OMIM:135900	Coffin-Siris syndrome	0.99888	0.8696708333
OMIM:601803	Tetrasomy 12p	0.99728	0.8689561667
OMIM:304050	Aicardi syndrome	0.99597	0.8682938333
OMIM:147920	Kabuki Syndrome 1	0.99668	0.8682393333
OMIM:220200	DWS	0.99624	0.8676068333
OMIM:215140	Greenberg Dysplasia	0.9966	0.8674993333
OMIM:605039	Bohring-Opitz syndrome	0.99674	0.8673426667
OMIM:207600	Takayasu's arteritis	0.9977	0.8671651667
OMIM:210710	Microcephalic Osteodysplastic Primordial Dwarfism, Type 1	0.99691	0.8668053333
OMIM:122470	Cornelia De Lange Syndrome 1	0.97714	0.8665711667
OMIM:210900	Bloom syndrome	0.97619	0.8663223333
OMIM:613985	beta thalassemia	0.96373	0.8662905
OMIM:251260	Microcephaly, normal intelligence and immunodeficiency	0.96317	0.8659995
OMIM:253220	Mucopolysaccharidosis, Type 7	0.99626	0.8650721667
OMIM:133540	Cockayne syndrome B	0.99626	0.8640846667
OMIM:304150	Occipital Horn Syndrome	0.99618	0.8638635
OMIM:274000	Radial aplasia-thrombocytopenia syndrome	0.99662	0.8636105
OMIM:275210	Restrictive Dermopathy, Lethal	0.99618	0.8634195
OMIM:610377	Mevalonic Aciduria	0.9973	0.8631715
OMIM:219000	Fraser syndrome	0.99703	0.8630896667
OMIM:219090	ACTH-secreting pituitary adenoma	0.97515	0.8630891667
OMIM:602398	Desmosterolosis	0.99711	0.8628948333
OMIM:243200	pseudotumor cerebri	0.9639	0.8624645
OMIM:218040	Costello Syndrome	0.96361	0.8622976667
OMIM:301000	Wiskott-Aldrich syndrome	0.9759	0.8622743333
OMIM:182290	Smith-Magenis syndrome	0.99593	0.8619015
OMIM:160750	myositis	0.99628	0.8618201667
OMIM:608022	Diaphanospondylodysostosis	0.9968	0.8617976667
OMIM:166710	Osteoporosis	0.97552	0.8611298333
OMIM:214500	Chediak-Higashi syndrome	0.99608	0.86033
OMIM:201000	Carpenter syndrome 1	0.99819	0.8602083333
OMIM:236680	Hydrolethalus Syndrome 1	0.99745	0.8601165
OMIM:175200	Peutz-Jeghers Syndrome	0.99701	0.8600903333
OMIM:254500	Myeloma, Multiple	0.94231	0.8600671667
OMIM:242840	Vici Syndrome	0.9968	0.860015
OMIM:267000	Perlman Syndrome	0.99614	0.859346
OMIM:602535	Marshall-Smith Syndrome	0.99817	0.858495
OMIM:304110	Craniofrontonasal Syndrome	0.99714	0.858446
OMIM:256520	Neu-Laxova syndrome 1	0.99616	0.8583386667
OMIM:185300	Sturge-Weber Syndrome	0.99726	0.858135
OMIM:609136	Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease	0.99668	0.8579861667
OMIM:272120	sudden infant death syndrome	0.96338	0.8576636667
OMIM:157900	MBS	0.97637	0.8572061667
OMIM:269860	Beemer-Langer syndrome	0.93858	0.8569643333
OMIM:161200	Nail-patella syndrome	0.99726	0.8565898333
OMIM:164200	Oculodentodigital dysplasia	0.99728	0.8563031667
OMIM:214100	Peroxisome Biogenesis Disorder 1A (Zellweger)	0.99608	0.8559533333
OMIM:187360	Temporal Arteritis	0.96361	0.855088
OMIM:216340	Yunis Varon syndrome	0.97625	0.8545383333
OMIM:608013	Gaucher disease, perinatal lethal	0.9754	0.8545021667
OMIM:208400	aspartylglucosaminuria	0.97579	0.854377
OMIM:249000	Meckel Syndrome, Type 1	0.97534	0.8543251667
OMIM:606690	Lymphangiomyomatosis	0.99674	0.8542146667
OMIM:218330	Cranioectodermal Dysplasia 1	0.99628	0.8542056667
OMIM:225400	Ehlers-Danlos syndrome, hydroxylysine-deficient	0.99603	0.854073
OMIM:264090	Progeroid Syndrome, Neonatal	0.9552	0.853938
OMIM:210600	Seckel syndrome 1	0.99782	0.8537968333
OMIM:603596	Polydactyly	0.99687	0.85375
OMIM:186580	Blau syndrome	0.99593	0.8534945
OMIM:162200	Neurofibromatosis, Type 1	0.99689	0.853465
OMIM:100050	Aarskog Syndrome, Autosomal Dominant	0.99722	0.8532466667
OMIM:218649	Craniosynostosis-Mental Retardation Syndrome of 51N and Gettig	0.97523	0.8527048333
OMIM:303600	Coffin-Lowry Syndrome	0.99753	0.8526695
OMIM:256550	glycoproteinosis	0.99591	0.8524378333
OMIM:609029	Emanuel syndrome	0.9764	0.852179
OMIM:179600	Raynaud disease	0.95456	0.8521766667
OMIM:107480	Townes syndrome	0.99807	0.8521626667
OMIM:308050	Congenital Hemidysplasia With Ichthyosiform Erythroderma and Limb Defects	0.99622	0.8514631667
OMIM:608911	choanal atresia	0.9972	0.8512345
OMIM:129900	EEC1	0.96386	0.8511943333
OMIM:276820	Phocomelia, Schinzel type	0.99597	0.8511716667
OMIM:115430	carpal tunnel syndrome	0.99606	0.8511295
