model.iri	model.label	modGene.iri	modGene.label	disease.iri	disease.label
http://www.informatics.jax.org/accession/MGI:3620112	Col1a1<Mov13>/Col1a1<+> [involves: C57BL/6]	http://www.informatics.jax.org/accession/MGI:88467	Col1a1	http://purl.obolibrary.org/obo/OMIM_166200	[Osteogenesis Imperfecta, Type 1,Osteogenesis imperfecta type I,Osteogenesis imperfecta type 1]
http://www.informatics.jax.org/accession/MGI:3838157	Tg(COL1A1)73Prc/0 [involves: FVB/N]	http://www.ncbi.nlm.nih.gov/gene/1277	COL1A1	http://purl.obolibrary.org/obo/OMIM_166200	[Osteogenesis Imperfecta, Type 1,Osteogenesis imperfecta type I,Osteogenesis imperfecta type 1]
http://www.informatics.jax.org/accession/MGI:3621007	Zmpste24<tm1Otin>/Zmpste24<tm1Otin> [involves: 129P2/Ola * C57BL/6]	http://www.informatics.jax.org/accession/MGI:1890508	Zmpste24	http://purl.obolibrary.org/obo/OMIM_181350	[Emery-Dreifuss Muscular Dystrophy 2, Autosomal Dominant,Benign scapuloperoneal muscular dystrophy with cardiomyopathy]
http://www.informatics.jax.org/accession/MGI:2177931	Lmna<tm1Stw>/Lmna<tm1Stw> [involves: 129S1/Sv]	http://www.informatics.jax.org/accession/MGI:96794	Lmna	http://purl.obolibrary.org/obo/OMIM_181350	[Emery-Dreifuss Muscular Dystrophy 2, Autosomal Dominant,Benign scapuloperoneal muscular dystrophy with cardiomyopathy]
http://www.informatics.jax.org/accession/MGI:3527796	Lmna<tm1Gbon>/Lmna<tm1Gbon> [involves: 129S2/SvPas * C57BL/6]	http://www.informatics.jax.org/accession/MGI:96794	Lmna	http://purl.obolibrary.org/obo/OMIM_181350	[Emery-Dreifuss Muscular Dystrophy 2, Autosomal Dominant,Benign scapuloperoneal muscular dystrophy with cardiomyopathy]
http://www.informatics.jax.org/accession/MGI:2175836	Dysf<im>/Dysf<im> [SJL]	http://www.informatics.jax.org/accession/MGI:1349385	Dysf	http://purl.obolibrary.org/obo/OMIM_253601	[Muscular Dystrophy, Limb-Girdle, Type 2B,Limb-girdle muscular dystrophy, type 2B]
http://www.informatics.jax.org/accession/MGI:3055578	Dysf<tm1Meho>/Dysf<tm1Meho> [involves: 129S4/SvJae * C57BL/6]	http://www.informatics.jax.org/accession/MGI:1349385	Dysf	http://purl.obolibrary.org/obo/OMIM_253601	[Muscular Dystrophy, Limb-Girdle, Type 2B,Limb-girdle muscular dystrophy, type 2B]
http://www.informatics.jax.org/accession/MGI:2661118	Dysf<tm1Kcam>/Dysf<tm1Kcam> [involves: 129S1/Sv * 129X1/SvJ * C57BL/6]	http://www.informatics.jax.org/accession/MGI:1349385	Dysf	http://purl.obolibrary.org/obo/OMIM_253601	[Muscular Dystrophy, Limb-Girdle, Type 2B,Limb-girdle muscular dystrophy, type 2B]
http://www.informatics.jax.org/accession/MGI:3055667	Dysf<prmd>/Dysf<prmd> [A/J]	http://www.informatics.jax.org/accession/MGI:1349385	Dysf	http://purl.obolibrary.org/obo/OMIM_253601	[Muscular Dystrophy, Limb-Girdle, Type 2B,Limb-girdle muscular dystrophy, type 2B]
http://www.informatics.jax.org/accession/MGI:2659043	Capn3<tm1Jsb>/Capn3<tm1Jsb> [either: 129/Sv-Capn3<tm1Jsb> or (involves: 129/Sv * C57BL/6)]	http://www.informatics.jax.org/accession/MGI:107437	Capn3	http://purl.obolibrary.org/obo/OMIM_253600	[Muscular Dystrophy, Limb-Girdle, Type 2A,Limb-girdle muscular dystrophy, type 2A]
http://www.informatics.jax.org/accession/MGI:4829971	Capn3<tm1.1Hiso>/Capn3<tm1.1Hiso> [B6.129P2-Capn3<tm1.1Hiso>]	http://www.informatics.jax.org/accession/MGI:107437	Capn3	http://purl.obolibrary.org/obo/OMIM_253600	[Muscular Dystrophy, Limb-Girdle, Type 2A,Limb-girdle muscular dystrophy, type 2A]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM17726	NIGMS-GM17726	http://www.ncbi.nlm.nih.gov/gene/825	CAPN3	http://purl.obolibrary.org/obo/OMIM_253600	[Muscular Dystrophy, Limb-Girdle, Type 2A,Limb-girdle muscular dystrophy, type 2A]
http://www.informatics.jax.org/accession/MGI:5308984	Asl<tm1Brle>/Asl<tm1Brle> [involves: 129S7/SvEvBrd]	http://www.informatics.jax.org/accession/MGI:88084	Asl	http://purl.obolibrary.org/obo/OMIM_207900	[Argininosuccinic Aciduria,Argininosuccinate lyase deficiency,argininosuccinic aciduria]
http://www.informatics.jax.org/accession/MGI:3605490	Asl<tm1Wjc>/Asl<tm1Wjc> [involves: 129S7/SvEvBrd]	http://www.informatics.jax.org/accession/MGI:88084	Asl	http://purl.obolibrary.org/obo/OMIM_207900	[Argininosuccinic Aciduria,Argininosuccinate lyase deficiency,argininosuccinic aciduria]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM23823	NIGMS-GM23823	http://www.ncbi.nlm.nih.gov/gene/435	ASL	http://purl.obolibrary.org/obo/OMIM_207900	[Argininosuccinic Aciduria,Argininosuccinate lyase deficiency,argininosuccinic aciduria]
http://www.informatics.jax.org/accession/MGI:2177433	Hexa<tm1Rlp>/Hexa<tm1Rlp> [involves: 129S4/SvJae * C57BL/6]	http://www.informatics.jax.org/accession/MGI:96073	Hexa	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
http://www.informatics.jax.org/accession/MGI:3581542	Hexa<tm1Cota>/Hexa<tm1Cota> [involves: 129S2/SvPas * C57BL/6]	http://www.informatics.jax.org/accession/MGI:96073	Hexa	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
