disease	disease_label	model_gene	gene_label	model_gene_taxon	owlsim_score	owlsim_rank	models	disease_pheno_count	disease_gene_count	modgene_pheno_count	isLeafNode
OMIM:600376	Hereditary hemorrhagic telangiectasia type 2	MGI:1338946	Acvrl1	Mouse	66	1	5	35	1	69	true
OMIM:268300	Roberts syndrome	ZFIN:ZDB-GENE-050913-156	esco2	Zebrafish	56	1	3	111	2	73	false
OMIM:277460	Vitamin E, Familial Isolated Deficiency of	MGI:1354168	Ttpa	Mouse	70	1	3	29	3	19	true
OMIM:131100	Multiple endocrine neoplasia, type 1	MGI:1316736	Men1	Mouse	72	1	6	54	1	77	true
OMIM:274600	Pendred's syndrome	MGI:1346029	Slc26a4	Mouse	72	1	3	19	4	80	true
OMIM:114550	Hepatocellular carcinoma	MGI:97569	Abcb4	Mouse	63	1	1	112	215	67	false
OMIM:140000	Hand-Foot-Genital Syndrome	MGI:96173	Hoxa13	Mouse	63	1	5	39	1	64	false
OMIM:612423	Prekallikrein Deficiency	MGI:102849	Klkb1	Mouse	94	1	1	1	1	2	true
OMIM:602771	Rigid Spine Muscular Dystrophy 1	MGI:2151208	Sepn1	Mouse	48	1	1	23	3	31	false
OMIM:308240	Lymphoproliferative syndrome 1, X-linked	MGI:1328352	Sh2d1a	Mouse	65	1	7	16	2	42	true
OMIM:125800	Diabetes Insipidus, Nephrogenic, Autosomal	MGI:98907	Uox	Mouse	72	1	1	15	1	33	true
OMIM:188400	DiGeorge syndrome	MGI:98729	Tgfbr2	Mouse	68	1	1	236	12	140	false
OMIM:276710	tyrosinemia type III	MGI:96213	Hpd	Mouse	64	1	1	6	1	2	true
OMIM:181750	Scleroderma, Familial Progressive	MGI:95489	Fbn1	Mouse	66	1	3	65	0	131	false
OMIM:193300	Von Hippel-Lindau Syndrome	ZFIN:ZDB-GENE-070112-1042	vhl	Zebrafish	50	1	1	46	2	50	true
OMIM:180300	Rheumatoid Arthritis	MGI:99613	Zap70	Mouse	90	1	1	6	10	53	true
OMIM:278750	Xeroderma pigmentosum, variant type	MGI:1891457	Polh	Mouse	60	1	3	15	1	7	true
OMIM:606664	Hypermethioninemia due to glycine N-methyltransferase deficiency	MGI:1202304	Gnmt	Mouse	74	1	2	3	1	19	true
OMIM:113800	Bullous ichthyosiform erythroderma	MGI:96685	Krt10	Mouse	63	1	2	22	8	35	false
OMIM:241850	Bamforth syndrome	MGI:1353500	Foxe1	Mouse	67	1	1	11	2	13	true
OMIM:309000	oculocerebrorenal syndrome	ZFIN:ZDB-GENE-061110-61	ocrl	Zebrafish	54	1	3	157	2	82	false
OMIM:300068	Androgen Insensitivity Syndrome	MGI:88064	Ar	Mouse	71	1	8	81	4	182	false
