AGRE4_HUMAN	ADGRE4P	326342
AGRF1_HUMAN	ADGRF1	266977
AGRG4_HUMAN	ADGRG4	139378
AGRD2_HUMAN	ADGRD2	347088
AGRF3_HUMAN	ADGRF3	165082
AGRG5_HUMAN	ADGRG5	221188
AGRF4_HUMAN	ADGRF4	221393
AGRF2_HUMAN	ADGRF2	222611
AGRG7_HUMAN	ADGRG7	84873
AGRA1_HUMAN	ADGRA1	84435
G32P1_HUMAN	GPR32P1	2855
GPR42_HUMAN	GPR42	2866
GPR82_HUMAN	GPR82	27197
GP141_HUMAN	GPR141	353345
GP148_HUMAN	GPR148	344561
GP157_HUMAN	GPR157	80045
GPR27_HUMAN	GPR27	2850
GPR63_HUMAN	GPR63	81491
GPC5C_HUMAN	GPRC5C	55890
GP146_HUMAN	GPR146	115330
GP150_HUMAN	GPR150	285601
GP153_HUMAN	GPR153	387509
GP149_HUMAN	GPR149	344758
GPR21_HUMAN	GPR21	2844
GPR33_HUMAN	GPR33	2856
GPR75_HUMAN	GPR75	10936
GPR25_HUMAN	GPR25	2848
GPR62_HUMAN	GPR62	118442
GPR20_HUMAN	GPR20	2843
GPR22_HUMAN	GPR22	2845
GP179_HUMAN	GPR179	440435
GP173_HUMAN	GPR173	54328
GP107_HUMAN	GPR107	57720
GP151_HUMAN	GPR151	134391
GP171_HUMAN	GPR171	29909
GPC5D_HUMAN	GPRC5D	55507
OPSG2_HUMAN	OPN1MW2	728458
OPSG3_HUMAN	OPN1MW2	728458
OPSG_HUMAN	OPN1MW2	728458
MRGX4_HUMAN	MRGPRX4	117196
MRGRF_HUMAN	MRGPRF	116535
MRGX3_HUMAN	MRGPRX3	117195
MRGRG_HUMAN	MRGPRG	386746
T2R42_HUMAN	TAS2R42	353164
TAAR3_HUMAN	TAAR3	9288
TA2R9_HUMAN	TAS2R9	50835
TAAR9_HUMAN	TAAR9	134860
T2R19_HUMAN	TAS2R19	259294
TPRA1_HUMAN	TPRA1	131601
VN1R4_HUMAN	VN1R4	317703
VN1R2_HUMAN	VN1R2	317701
VN1R3_HUMAN	VN1R3	317702
VN1R5_HUMAN	VN1R5	317705
VNRL4_HUMAN	VN1R17P	441931
